Si    1.026000000000000e-02    1.026000000000000e-02    1.026000000000000e-02  1
Si    1.026000000000000e-02    5.140260000000000e+00    5.140260000000000e+00  1
Si    5.140260000000000e+00    1.026000000000000e-02    5.140260000000000e+00  1
Si    5.140260000000000e+00    5.140260000000000e+00    1.026000000000000e-02  1
Si    2.575260000000000e+00    2.575260000000000e+00    2.575260000000000e+00  1
Si    2.575260000000000e+00    7.705260000000000e+00    7.705260000000000e+00  1
Si    7.705260000000000e+00    2.575260000000000e+00    7.705260000000000e+00  1
Si    7.705260000000000e+00    7.705260000000000e+00    2.575260000000000e+00  1
Si    1.026000000000000e-02    1.026000000000000e-02    1.027026000000000e+01  1
Si    1.026000000000000e-02    5.140260000000000e+00    1.540026000000000e+01  1
Si    5.140260000000000e+00    1.026000000000000e-02    1.540026000000000e+01  1
Si    5.140260000000000e+00    5.140260000000000e+00    1.027026000000000e+01  1
Si    2.575260000000000e+00    2.575260000000000e+00    1.283526000000000e+01  1
Si    2.575260000000000e+00    7.705260000000000e+00    1.796526000000000e+01  1
Si    7.705260000000000e+00    2.575260000000000e+00    1.796526000000000e+01  1
Si    7.705260000000000e+00    7.705260000000000e+00    1.283526000000000e+01  1
Si    1.026000000000000e-02    1.026000000000000e-02    2.053026000000000e+01  1
Si    1.026000000000000e-02    5.140260000000000e+00    2.566026000000000e+01  1
Si    5.140260000000000e+00    1.026000000000000e-02    2.566026000000000e+01  1
Si    5.140260000000000e+00    5.140260000000000e+00    2.053026000000000e+01  1
Si    2.575260000000000e+00    2.575260000000000e+00    2.309526000000000e+01  1
Si    2.575260000000000e+00    7.705260000000000e+00    2.822526000000000e+01  1
Si    7.705260000000000e+00    2.575260000000000e+00    2.822526000000000e+01  1
Si    7.705260000000000e+00    7.705260000000000e+00    2.309526000000000e+01  1
Si    1.026000000000000e-02    1.026000000000000e-02    3.079026000000000e+01  1
Si    1.026000000000000e-02    5.140260000000000e+00    3.592026000000000e+01  1
Si    5.140260000000000e+00    1.026000000000000e-02    3.592026000000000e+01  1
Si    5.140260000000000e+00    5.140260000000000e+00    3.079026000000000e+01  1
Si    2.575260000000000e+00    2.575260000000000e+00    3.335526000000000e+01  1
Si    2.575260000000000e+00    7.705260000000000e+00    3.848526000000000e+01  1
Si    7.705260000000000e+00    2.575260000000000e+00    3.848526000000000e+01  1
Si    7.705260000000000e+00    7.705260000000000e+00    3.335526000000000e+01  1
Si    1.026000000000000e-02    1.026000000000000e-02    4.105026000000000e+01  1
Si    1.026000000000000e-02    5.140260000000000e+00    4.618026000000000e+01  1
Si    5.140260000000000e+00    1.026000000000000e-02    4.618026000000000e+01  1
Si    5.140260000000000e+00    5.140260000000000e+00    4.105026000000000e+01  1
Si    2.575260000000000e+00    2.575260000000000e+00    4.361526000000000e+01  1
Si    2.575260000000000e+00    7.705260000000000e+00    4.874526000000000e+01  1
Si    7.705260000000000e+00    2.575260000000000e+00    4.874526000000000e+01  1
Si    7.705260000000000e+00    7.705260000000000e+00    4.361526000000000e+01  1
Si    1.026000000000000e-02    1.026000000000000e-02    5.131026000000000e+01  1
Si    1.026000000000000e-02    5.140260000000000e+00    5.644025999999999e+01  1
Si    5.140260000000000e+00    1.026000000000000e-02    5.644025999999999e+01  1
Si    5.140260000000000e+00    5.140260000000000e+00    5.131026000000000e+01  1
Si    2.575260000000000e+00    2.575260000000000e+00    5.387526000000000e+01  1
Si    2.575260000000000e+00    7.705260000000000e+00    5.900526000000000e+01  1
Si    7.705260000000000e+00    2.575260000000000e+00    5.900526000000000e+01  1
Si    7.705260000000000e+00    7.705260000000000e+00    5.387526000000000e+01  1
Si    1.026000000000000e-02    1.026000000000000e-02    6.157026000000000e+01  1
Si    1.026000000000000e-02    5.140260000000000e+00    6.670026000000000e+01  1
Si    5.140260000000000e+00    1.026000000000000e-02    6.670026000000000e+01  1
Si    5.140260000000000e+00    5.140260000000000e+00    6.157026000000000e+01  1
Si    2.575260000000000e+00    2.575260000000000e+00    6.413526000000000e+01  1
Si    2.575260000000000e+00    7.705260000000000e+00    6.926526000000000e+01  1
Si    7.705260000000000e+00    2.575260000000000e+00    6.926526000000000e+01  1
Si    7.705260000000000e+00    7.705260000000000e+00    6.413526000000000e+01  1
Si    1.026000000000000e-02    1.026000000000000e-02    7.183026000000000e+01  1
Si    1.026000000000000e-02    5.140260000000000e+00    7.696025999999999e+01  1
Si    5.140260000000000e+00    1.026000000000000e-02    7.696025999999999e+01  1
Si    5.140260000000000e+00    5.140260000000000e+00    7.183026000000000e+01  1
Si    2.575260000000000e+00    2.575260000000000e+00    7.439525999999999e+01  1
Si    2.575260000000000e+00    7.705260000000000e+00    7.952525999999999e+01  1
Si    7.705260000000000e+00    2.575260000000000e+00    7.952525999999999e+01  1
Si    7.705260000000000e+00    7.705260000000000e+00    7.439525999999999e+01  1
Si    1.026000000000000e-02    1.026000000000000e-02    8.209026000000000e+01  1
Si    1.026000000000000e-02    5.140260000000000e+00    8.722026000000000e+01  1
Si    5.140260000000000e+00    1.026000000000000e-02    8.722026000000000e+01  1
Si    5.140260000000000e+00    5.140260000000000e+00    8.209026000000000e+01  1
Si    2.575260000000000e+00    2.575260000000000e+00    8.465526000000000e+01  1
Si    2.575260000000000e+00    7.705260000000000e+00    8.978525999999999e+01  1
Si    7.705260000000000e+00    2.575260000000000e+00    8.978525999999999e+01  1
Si    7.705260000000000e+00    7.705260000000000e+00    8.465526000000000e+01  1
Si    1.026000000000000e-02    1.026000000000000e-02    9.235026000000001e+01  1
Si    1.026000000000000e-02    5.140260000000000e+00    9.748026000000000e+01  1
Si    5.140260000000000e+00    1.026000000000000e-02    9.748026000000000e+01  1
Si    5.140260000000000e+00    5.140260000000000e+00    9.235026000000001e+01  1
Si    2.575260000000000e+00    2.575260000000000e+00    9.491526000000000e+01  1
Si    2.575260000000000e+00    7.705260000000000e+00    1.000452600000000e+02  1
Si    7.705260000000000e+00    2.575260000000000e+00    1.000452600000000e+02  1
Si    7.705260000000000e+00    7.705260000000000e+00    9.491526000000000e+01  1
Si    1.026000000000000e-02    1.026000000000000e-02    1.026102600000000e+02  1
Si    1.026000000000000e-02    5.140260000000000e+00    1.077402600000000e+02  1
Si    5.140260000000000e+00    1.026000000000000e-02    1.077402600000000e+02  1
Si    5.140260000000000e+00    5.140260000000000e+00    1.026102600000000e+02  1
Si    2.575260000000000e+00    2.575260000000000e+00    1.051752600000000e+02  1
Si    2.575260000000000e+00    7.705260000000000e+00    1.103052600000000e+02  1
Si    7.705260000000000e+00    2.575260000000000e+00    1.103052600000000e+02  1
Si    7.705260000000000e+00    7.705260000000000e+00    1.051752600000000e+02  1
Si    1.026000000000000e-02    1.026000000000000e-02    1.128702600000000e+02  1
Si    1.026000000000000e-02    5.140260000000000e+00    1.180002600000000e+02  1
Si    5.140260000000000e+00    1.026000000000000e-02    1.180002600000000e+02  1
Si    5.140260000000000e+00    5.140260000000000e+00    1.128702600000000e+02  1
